ID,Location,Catalogue or inventory number or Provenance,Ht (= height),Diam,Plate reference,Description
31,Basel, private coll. , ,Diam. 18. , ,"closely do some of his vases approach the latter's in style (e.g. the bell-krater, Foggia 129320). Twenty-eight of his vases were found together in a necropolis at Ascoli Satriano and are now in the museum at Foggia (inv. nos. 129317-55), awaiting publication by Dr. Santo Tine. Two of the bell-kraters (129317 and 129319 =  RVAp II, p. 719, nos. 868-9) have on their reverses two half-draped youths whose cloaks have the typical Paestan dot-stripe borders, and several of the female figures also wear drapery with dot-stripe borders and central stripe (e.g. on inv. 129319-20, 129328, 129330 and the Nereid on the oenochoe in RVAp, Suppl. I, p. 127, no. 880 a). The pictures may be framed between palmettes which closely resemble those on Paestan vases, except that the upper leaf of the scroll has a serrated edge, or else between reserved bands, decorated inside with chevron pattern (e.g. on inv. 129321, "
32,Mainz, R G ZM 0.12946. 19, , , ,"and later (1985) in Napoli antica, pp. 331-2. "
33,Laon,37.1074. ,Ht. 15, , ,
34,Udine,1538. ,Ht. 14, , ,
35,Vatican,U52 (inv. 18000). ,Ht. 16, , ,"wRVAp  II, pp. 718-20; Suppl. I, pp. 126-7. To the lists there given may now be added three skyphoi "
36,Heligoland, Kropatschek coll. 114. ,Ht. 18, , ,"266, 3); on the obverses, one has a woman, wearing a dot-striped peplos with a long overfall, moving to r. with an incense-burner in her r. hand, the second, a sphinx, and the third Eros with a wreath; also an "
37,Warsaw,147300. ,Ht. 22, , ,"rock, with a deer beside him. All four are framed between palmettes, Paestan type, but with the top leaf of the scroll having a serrated edge. "
38,Madrid,32653 (ex Prado 120). ,Ht. 41, , ,"Peintre de Darius et son milieu, pp. 201-3), depicting Herakles and a centaur with a woman on his back, and there is another of the same shape on the Paris market, Galerie Mythes et Legendes, Cat. 18, no. 3748 (ill.), representing Eros seated on a hollow rock. There are also two lekanides by him now in the "
39,Syracuse,47102,Ht. 40, , ,
40,Lipari,9671,Ht. 40, ,"PLATE4a,b ",
41,Lipari,11806,Ht. 41, ,PLATE 4 erf ,"1978, p. 193, no. 19, pi. 35, 2) belongs to this group; in my opinion, it is not Paestan, since it contains too many elements foreign to that fabric (e.g. the white rock, the rosette to the left of the column, the thyrsus held by the papposilen and the comb-palmettes). Some of these are more in keeping with Apulian, but the dot—stripe bordered drapery over the lap of the papposilen associates the vase with the work of the Ascoli Satriano Painter, and if it belongs in this context, that would easily explain the confusion with Paestan. GENERAL INTRODUCTION  21 129327-9, 129339; cf. RVAp II, pi. 266,5). The Ascoli Satriano Painter must at least have been thoroughly familiar with Paestan mannerisms, but as all his extant vases "
42,Lipari,6814,Ht. 39, , ,"province, probably at Ascoli Satriano, where so many of his vases were found. The "
43,Ragusa, private coll. ,Ht. 34, , ,"Connections with Paestan may also be seen on some of the vases recently excavated at Roccagloriosa, near Sapri, about 100 km. to the south-east of Paestum. "
44,Once Geneva Market, Koutoulakis,Ht. 35, ,"PLATE 5 a, b ","fragments and are in an extremely battered condition, are published by Helena Fraccia and Maurizio Gualtieri in Crossroads of the Mediterranean (Archaeologia Transatlantica II; Providence, Rhode  Island  and  Louvain-la-Neuve,  1984), "
45,Once Zurich Market, Arete.  , , ,"PLATE 5 c, a","Tomb  9 (inv. 48092; op. cit., p. 318, fig. 18), which closely resembles the characteristic Paestan form of this vase, with the elaborate, multiple lid; the two "
46,Once Nocera, Fienga coll. (inv. De F. 582). ,Ht. 41, , ,"and p. 297, fig. 5), perhaps representing Creon handing Megara over to Herakles, "
47,Madrid,11033 (L. 381). ,Ht. 22, , ,"3-4), depicting the mourning Niobe, are near in style to Early Ornate Apulian, but, as Dr. Fraccia points out, are also connected with some of the immediate 'forerun ners' of Paestan. Their state of preservation, however, makes stylistic comparisons difficult. Some of the other vases look nearer to Lucanian; they might be of local "
48,Gela,298,Ht. 30, , ,
49,Gela, Iacona coll. ,Ht. 34, , ,"the Ionian coast (Herakleia and Metaponto) and Tarentum by way of the Val d'Agri or the Val Sinni, as Gualtieri has suggested (op. cit., p. 329, with map on p. 328, fig. 30). "
50,Cefalh,8,Ht. 21, , ,"in consequence, such influence as Paestan exerted upon other South Italian fabrics, especially on Campanian, was probably due to movements on the part of the potters themselves rather than to the export of their products. Finally, there is the quite extensive Apulianising phase in later Paestan which seems to have begun early in the last third of the fourth century with the Aphrodite "
51,Bari, Cotecchia coll. 60. ,Ht. 21, , ,"adapted his style to theirs and became paestanised. Less so, the second wave of "
52,Baranello,203. ,Ht. 15, , ,"Apulian manner, with very little compromise, except possibly in their choice of shapes. Their vases are of considerable interest for both style and subject-matter and were not without some measure of influence upon the local artists, especially the "
53,Ragusa, Museo Archeologico (ex La Rocca coll.). ,Ht. 32, ,"PLATE6c,d ","It should be borne in mind that Tarentum, the main centre of vase-production in Apulia in the later fifth and the first half of the fourth century B.C., was a large and flourishing city, well in touch with the artistic currents of the time, whereas "
54,Once Frankfurt,Market. , ,Diam. 18-8,PLATE 6 e ,"had its effect upon their cultural development. It is, therefore, not surprising that the western fabrics show a greater measure of restraint than does Apulian; Beazley, in "
55,Bern,D5, , ,PLATE 6/ ,"of popular provincial art', in contrast to 'the perpetual elegance of late Apulian vase-painting with its talent for trivialising even the noblest themes'. Chapter II. THE SICILIAN FORERUNNERS BIBLIOGRAPHY B. Pace, 'Pittura vascolare con riflessi dell' arte di Parrasio', in Ausonia 10, 1921, pp. 150-9. idem, 'Vasi figurati con riflessi della pittura di Parrasio', in MonAnt 28, 1922, pp. 521-98. "
56,Locri,1969, , , ,"A. D. Trendall, 'Early Paestan Pottery', in JHS  55, 1935, pp. 35 ff. idem, Paestan Pottery, pp. 7-12; PPSupp, pp. 3-4 and 23-6; LCS, pp. 202-9; Suppl. I, pp. 31-2; II, pp. 183—i; III, pp. 88-90 and 99-103. "
57,Louvre,236. ,Ht. 37, , ,
58,Melbourne, Graham Geddes coll. C 1, , , ,106-13. 
59,Canberra,83.01. ,Ht. 37, ,"PLATE 7 d, e ",
60,Reggio,Cal. S4799,"Ht. 9,", , ,
61,Reggio,Cal., , , ,
62,Louvre,344,Ht. 25, ,PLATE 8 a ,
63,Berlin,F2960,Ht. 10, , ,the history of Sicilian red-figure. 
64,Once Basel Market, MuM. ,Ht. 20, ,PLATE 8 A ,
65,Bologna,437. ,Ht. 17, , ,"Madeleine Cavalier, in L. Bernabo Brea, Menandro e il teatro greco nelle terrecotte liparesi (Genoa, 1981), pp. 259-302 on the r.f. vases =  MTL. "
66,Once Basel Market, MuM. ,Ht. 18, ,PLATE 8 c ,"Amedeo Tullio, La collezione archeologica del Museo Mandralisca (Cefalu, 1979). L. Bernabo Brea and M. Cavalier, La ceramica policroma liparese di eta ellenistica "
67,Bologna,491. ,Ht. 15, , ,"INTRODUCTION It now seems reasonably certain that the immediate forerunners of both Campanian and Paestan red-figure are to be found in the work of what may be regarded as the second generation of Sicilian vase-painters, of whom the Dirce and Prado/Fienga Painters are the most important. Red-figure vase-painting in Sicily seems to have "
68,Tischbein,134, , , ,"LCS, Suppl. Ill, pp. 92 ff), whose style was closely modelled on that of contemporary "
69,Cefalu,7,Ht. 23, , ,"vases attributed to his own hand, or closely associated in style with his circle, have for the most part Sicilian proveniences. This, together with the fact that the black glaze is of inferior quality, with a strong tendency to flake off, and that the texture of the "
70,Naples,3126 (inv. 81736). ,Ht. 54, ,PLATE8a,"manufacture. We should, however, not overlook the fact that three of his kraters were found in the excavations at Montesarchio, the ancient Caudium, and one at THE SICILIAN FORERUNNERS  23 "
71,Once Zurich, Ruesch coll. ,Ht. 32, , ,"measure of export trade between Sicily and Campania in the first quarter of the fourth century B.C. The vases of the Dirce and Prado/Fienga Painters themselves, who must have flourished between c. 380 and 360 B.C., would also seem, on the evidence of their proveniences, to have been made in Sicily, and I should no longer wish to classify the former's work, as was done in PP but not in LCS, as Early Paestan. Some of the vases, however, by painters associated with these two artists have mainland proveniences, and this raises the problem of whether such vases are to be regarded as imports or of local manufacture. It is unfortunate that the proveniences of so many of the relevant vases, especially those found in the nineteenth century, are either not recorded or else are unreliable; those, however, which can be established with certainty tend to favour "
72,Naples,147324,Ht. 37, , ,
73,Dublin, University College 1468 (formerly on loan to the National Museum, , , ,
74,Brisbane, University of Queensland 64.1. ,Ht. 31, ,"PLATE 9 c, d ",
75,Cefalu,coll. ,Ht. 16, , ,
76,Once Hasselmann,14625,Ht. 38, , ,"similar pattern emerges with the vases in the Mad-Man and NYN  Groups, the "
77,Syracuse,51282,Ht. 35, , ,
78,Syracuse,K235. ,Ht. 37, , ,
79,Louvre,146775,Ht. 36, ,PLATE 10 a ,
80,Naples, private coll.,Ht. 32, , ,
81,Ragusa, University,Ht. 25, , ,127971). This pattern is repeated with the fish-plates by painters of almost certain 
82,Catania,11807, , , ,
83,Lipari,9604,Ht. 36, , ,
84,Lipari,9558,Ht. 40, ,"PLATE 10 c, d ",
85,Lipari,240. ,Ht. 40, ,"PLATE 11 a, b ",
86,Louvre, private coll. (2) 1,Ht. 38, ,"PLATE 11 c, d ",
87,Naples,32661 (Prado 150). , , , ,
88,Madrid,K241. , , , ,
89,Louvre,,Ht. 39, ,"PLATE 11 e,f ","and Campania, nor would it be unreasonable to associate such a migration with the political disturbances in eastern Sicily which followed the death of Dionysius I in 367 B.C. We have, as yet, no definite evidence to prove that such a migration did in fact take place. However, there is no doubt that the local fabrics of Campania and "
90,Lipari,927,Ht. 35, , ,"fourth century B.C.—and that both strongly reflect the influence of the Sicilian painters, some of whose vases have been found in those areas. Their import might possibly have inspired local artists to imitate them, but it is more probable that the "
91,Taranto,56246,Ht. 37, , ,
92,Once New York Market, Atlantis Gallery. ,Ht. 41, ,PLATE ,
93,Gela,8255,Ht. 39, ,PLATE 12/ ,
94,Syracuse,29966, , , ,
95,North German private,coll. 12,Ht. 40, ,"PLATE 13 b, c ","Since the work of the Dirce and Prado/Fienga Painters has already been studied in some detail in PP, LCS and their Supplements; it is here discussed principally for its significance in regard to the first phases of Campanian and Paestan red-figure; the lists below are not exhaustive, but include what seem to be the most relevant of the Sicilian vases in that particular respect, with a few additions and some minor regroupings. Chapter III deals with the comparatively small group of vases which "
96,Leningrad,1660 (St. 1777). , , , ,"below belong to the period between c. 380 and 360 B.C. Bibliographical references are generally confined to PP, LCS and their Supplements (where earlier literature is cited) and to subsequent publications. 1. THE DIRCE GROUP The Dirce Group consists primarily of the work of the Dirce Painter himself and that "
97,Malibu,80 AE 153. , , , ,"and it is not always easy to distinguish between them, so that the possibility of the latter's work representing what we may call the 'Campanian' phase of the former's cannot be altogether excluded. Between the two has been placed a group of 'transitional' vases; some of these were formerly attributed to the Dirce Painter and "
98,Palermo, Bank of Sicily, , ,PLATE 13a,former and think they should probably be attributed to his hand. The evidence of proveniences is discussed in the Introduction to this chapter; they would seem to 
99,Geneva,29. ,Ht. 32, ,PLATE ,"pure Sicilian. (i) The Dirce Painter The Dirce Painter was first identified by Beazley in a communication to Paul Jacobsthal, quoted in Die Melischen Reliefs, p. 83, note 4, where the three vases in "
100,New York,1985.74. Gift of D. von Bothmer. 9,Ht. 41, ,"PLATE 14a,i ","him, with the suggestion that the painter was possibly a Sicilian. The characteristic features of his style are dealt with in some detail in PP (pp. 7 ff.) and LCS (pp. 202-3) and need not be repeated here except to draw particular attention to his use of an embattled or dot-stripe border pattern on his drapery and to his repetitions of several 'stock figures' like the seated woman, with a piece of drapery over the lower part of her body, or the young snub-nosed satyr. The influence of his style of drawing and of his decorative pattern-work on Paestan will be discussed in greater detail later. (a) Calyx-kraters "
101,Madrid,11138 (L. 422). , , , ,
102,Paestum,IV, , , ,"3; Gogos, OJh 55, 1984, p. 45, fig. 13; A.J. N. W. Prag, The Oresteia, pi. 35 d. [a) Orestes, Electra and Pylades at the tomb of Agamemnon, [b) young satyr and maenad. "
103,Paestum,3907 BA, , , ,
104,Paestum,6455, , , ,"Diessmann, Dramen des Aischylos, pp. 94 and 96. 25 THE SICILIAN FORERUNNERS "
105,New York Market, Royal,Ht. 42, ,PLATE 15 ,"PP, no. 2, pis. 2 a and 3 a; PPSupp, no. 2; LCS, p. 203, no. 27; Suppl. Ill, p. 99, no. 49; van der Meer, BABesch 52-3, 1977-8, fig. 40; Trendall, Festschrift Hemelrijk, p. 159, fig. 2. [a) Punishment of Dirce and Lykos, [b) maenad between two satyrs. "
106,Basel,313. , , ,PLATE 16 a ,"LCS, p. 203, no. 28a, pi. 80,1 (reverse); Suppl. Ill, p. 99, no. 51. [a) Standing draped woman, resting r. arm on pillar, Eros beside seated woman looking into mirror, half-draped youth; bust of silen, above, [b) draped woman with fillet in r. hand, young satyr bending forward with phiale in r. hand. "
107,Naples, private coll. (2) 4, , , ,"PP, no. 3, pi. 3 c (obverse); PPSupp, no. 3, pi. 2 a (reverse); LCS, p. 203, no. 28; Suppl. Ill, p. 99, no. 50. [a) Three maenads and a satyr, [b) two draped youths. "
108,Paestum,32113,Ht. 37, ,PLATE 16b-d ,"PP, no. 4, pi. 3 d; PPSupp, no. 4; LCS, p. 204, no. 29; Suppl. Ill, p. 99, no. 52; LIMC  III, p. 923, Eros 872, pi. 658, 6. [a) Maenad, with Eros, seated between two silens, [b) two draped women, 1. with thyrsus, r. with pomegranate and fillet. For the open box below the seated maenad to r., cf. no. 3. "
109,Paestum,48455,Ht. (t, , ,"PPSupp, no. 5, pi. 1 a and b; LCS, p. 204, no. 30; Suppl. Ill, p. 99, no. 53. [a) Phlyax scene—Zeus, with thunderbolt in 1. hand and stick in r., between two phlyakes, 1. with basket on his head, r. playing the flute, [b) two draped youths, 1. with thyrsus, r. with stick. Bell-kraters "
110,Madrid,11137. , , ,PLATE 16/ ,
111,Madrid,11142 (L. 421). , , , ,"no. 54; Sikanie, figs. 283^; LIMC  III, p. 662, Dolan 17, pi. 528, 1. [a) Ambush of Dolon, [b) maenad seated between maenad and satyr. "
112,Karlsruhe,91 (W. 375). ,Ht. 30, ,"PLATE 17 a, b ","Trendall, NAC  12, 1983, p. 92. "
113,Paestum,22449,Ht. 31, ,"PLATE 17 c, d ","PP, no. 6, pi. 1 b; PPSupp, no. 7; LCS, p. 204, no. 32; Suppl. Ill, p. 99, no. 55; van der Meer, BABesch 52-3, 1977-8, fig. 86; Jobst, Die Hohle, fig. 18; Vernant and Vidal-Nacquet, Tragedy and Myth in ancient Greece, pi. 4. (a) Philoctetes, [b) maenad between two satyrs (the head of the maenad and the upper part of the satyr to r. are missing). "
114,Paestum,22443,Ht. 33, ,"PLATE 17 e,f ","Suppl. I, p. 37, no. 33 a, pi. 8, 3: Suppl. Ill, p. 99, no. 57. (a) Young satyr with phiale and dish, bending forward in front of seated maenad, with thyrsus in r. hand, [b) two draped youths, 1. with thyrsus, r. with stick. "
115,Mainz,O. 29212. , , , ,"Passeri, pi. 128; LCS, p. 204, no. 33, pi. 80, 3^; Suppl. Ill, p. 99, no. 58. [a) Young satyr with tambourine, bending forward in front of seated meanad with thyrsus, [b) maenad running to r., with thyrsus in r. hand, cista and fillet in 1. The head of the thyrsus carried by the maenad on the reverse finds a close parallel in that "
116,Paestum, from Pontecagnano,Ht. 34, ,PLATE ,(b) 
117,Salerno,Mus. Prov.,Ht. 42, ,"PLATED 18 e,f ","in the catalogue of Malmberg and Felsberg (no. 109, pi. 7, 1), looks as if it might also be by the Dirce Painter, in view of the similarity of the pattern-work, and the treatment of the Greek warrior, but without seeing its reverse I hesitate on a specific "
118,Naples,781 (inv. 82603). ,Ht. 31, ,"PLATE 19a,i ",Bell-krater 
119,Paestum, from S. Venera (sanctuary,Ht. 25, , ,"LCS, p. 204, no. 35; Suppl. Ill, p. 100, no. 60. [a) Kneeling Greek, with shield and spear, attacked with spear by mounted Amazon, [b) two draped youths. "
120,Paestum,20386,Ht. 25, ,PLATE ,very close in style to the work of the Dirce Painter—cf. the drapery of the seated woman with that of Electra on no. 1. 
121,Melbourne,391,Ht. 27, , ,
122,Los Angeles, Sidney Port coll. (ex Summa Galleries,Ht. 32, , ,"NSc 1962, p. 366, no. 4 and p. 368, fig. 30; LCS, p. 206, no. 46; Suppl. Ill, p. 102, no. 79. Seated draped woman, with a himation with a dot-stripe border over her legs; part of a youth, holding a staff. (ii) In PP and PPSupp the vases in this division were attributed either to the Dirce Painter himself (nos. 18 and 22) or to his followers, and among their works were listed many vases which were later (LCS, pp. 213-16; Suppl. Ill, pp. 107-10) placed in or near the Prado/Fienga Group. Several of the vases listed below (e.g. nos. "
123,Hillsborough, Mrs. R. A. Hearst coll. 23,Ht. 30, ,"PLATE20a,6 ","pointed out that his work was extremely close to that of the Dirce Painter. Since then a few new vases, which seem certainly to be by the former's hand (nos. 24—6), have come to light and these enable us now to draw a better distinction between the work of the two painters, though without excluding the possibility that they are identical. "
124,Vienna,581. ,Ht. 30, ,"PLATE20c,a",
125,Once Zurich Market, Arete 2252. ,Ht. 26, , ,"later vases, which may well have been made in Campania. There are many points of close resemblance between the vases in this and in the "
126,Once Zurich Market, Arete. , , ,PLATE20/ ,"with a dot-stripe bordered cloak over their legs (cf. nos. 3-5, 7-8 (reverses), 9-10 with nos. 13, 18-22), the standing draped woman with a himation over her tunic (cf. nos. 3-4, reverse of 5, with the reverses of nos. 13-15), or simply wearing a peplos (cf. nos. 5) (reverse to r.), 7 (reverse to 1.) with nos. 13 (reverse to 1.), 15-16 (reverses to 1.), 17 (reverse to r.) and 18); the adjuncts and filling ornaments (e.g. the trees on nos. 2, 4, 7, 15; the fillets held by the women on nos. 3 (reverse), 5 (reverse), 10 "
127,Naples, private coll. (2) 4,Ht. 36, ,"PLATE21 a,b ","pattern and white dots; the dish with reverse wave decoration on nos. 8, 13 and 22; the palmette-scrolls on nos. 1 (reverse), 8, 13; the pattern-work, which very frequently consists of meanders with saltire squares. There are, however, certain points of difference—on the kraters in this division only sal tires accompany the meanders, which on nos. 14, 17-19 are stopt; all the reverses show static scenes; a white stephane with small rays comes into fashion for women (e.g. nos. 13, 14, 16-19, 22) in contrast to the plain bandeau preferred in (i); naked or half-draped women make a more frequent appearance, with rounded breasts and clearly defined nipples (e.g. nos. 14 and 17). The mythological subjects, which added to the interest of the vases in (i), disappear almost completely except on no. 15, which seems best placed here in view of the similarity between its reverse and those of nos. 13 and 14, though on them the drawing is more precise. In general, THE SICILIAN FORERUNNERS  27 women tend to have rather small mouths, with lips fairly tightly compressed (e.g. nos. 13-14, 16, 18, 22). Greater use is also made of added white to indicate rising ground (nos. 14—19). On the whole, however, the differences seem less significant than the similarities, and could well be accounted for by the normal developments taking place in the painter's style. Calyx-kraters "
128,Paestum,28901,Ht. 25, ,"PLATE 21 c,d ","PPSupp, no. 11, pi. 2 b; LCS, p. 205, no. 36, pi. 81, 1-2; Suppl. Ill, p. 100, no. 61; MTL, p. 261, fig. 417. [a) Woman with ivy-wreath and palm-branch seated between silen, with wine-skin and dish of eggs, and Dionysos with thyrsus, [b) two draped women, 1. with thyrsus, r. with fillet. "
129,Oxford,1945. 43. ,Ht. 36, , ,"PP, no. 13; PPSupp, no. 12; LCS, p. 205, no. 37; Suppl. Ill, p. 101, no. 63. (a) Satyr bending forward in front of seated half-draped women, holding mirror, standing draped woman with egg and thyrsus, [b) young satyr with thyrsus, and draped woman with fillet. "
130,Naples, private coll. (2) 4,Ht. an, ,"PLATE 22 c, d ","on p. 25. Ht. 30, diam. 30-5  PLATE 2/ Ex Erbach 30; PPSupp, no. 13; LCS, p. 205, no. 38; Suppl. Ill, p. 101, no. 64. [a) Centaur with tree-trunk attacking warrior holding spear and shield; above—bust of "
131,Collonges,(Geneva),Ht. 34, , ,"thyrsus, r. holding up mirror. The two following calyx-kraters have been extensively repainted but should belong here: "
132,Madrid,11019 (L. 373). ,Ht. 38, ,"PLATE23A,c ","LCS, p. 205, no. 39; Suppl. Ill, p. 101, no. 65. [a) Dionysos, with spray and thyrsus, seated between nude maenad, with mirror and thyrsus, and capering silen; above, bust of silen, [b) standing draped woman, holding fillet and thyrsus, silen bending forward with bead-chain in both hands. "
133,Madrid,11059 (L. 372). ,Ht. 29, ,"PLATE 23d,e ","PP, no. 14; PPSupp, no. 20; LCS, p. 206, no. 40, pi. 81,6; Suppl. Ill, p. 101, no. 66. (a) Standing maenad with thyrsus and phiale, seated maenad with thyrsus, towards whom Eros bends forward with phiale and mirror, [b) seated half-draped maenad with thyrsus, standing maenad with phiale and bead-wreath in r. hand, thyrsus in 1. Bell-kraters "
134,Bologna,490. , , , ,"PP, no. 7; PPSupp, no. 8; LCS, p. 206, no. 42, pi. 81,5; Suppl. Ill, p. 101, no. 69. [a) Standing maenad with thyrsus and tambourine, seated maenad, with thyrsus, beside a cista (cf. nos. 16 and 20), silen bending forward, [b) satyr pursuing maenad. "
135,Benevento, from Montesarchio,Ht. 18, ,"PLATE24a,A ","PP, no. 18; PPSupp, no. 22; LCS, p. 206, no. 43; Suppl. Ill, p. 101, no. 70. [a) Young satyr with thyrsus, seated maenad resting 1. hand on tambourine, Dionysos with thyrsus, maenad holding chequered cista, [b) maenad and satyr. "
136,Turin,4703. , , , ,
137,Dublin,1880,Ht. 14, ,"PLATE24/,",
138,Madrid,11062 (L. 385). ,Ht. 31, ,"PLATE 25 a, A ","Satyr holding egg, woman seated above cista (as on nos. 21 and 22), lower part of standing draped woman. "
139,Once Agrigento, Giudice coll. 193. ,Ht. 34, ,"PLATE26a,b ","CVA, pi. 26,4 (where classed as Attic ?); LCS, Suppl. Ill, p. 99, no. 58. "
140,Benevento,348 (old no. 1503),Ht. 35, ,PLATE26,
141,Salerno, Mus. Prov.,Ht. 31, ,"PLATE 27 a, A ",
142,Salerno, Mus. Prov.,Ht. 34, , ,"PP, no. 8, fig. 3; PPSupp, no. 9; LCS, p. 204, no. 34; Suppl. Ill, p. 99, no. 59. [a) Eros, with dish held in both hands, kneeling in front of seated woman with a fillet in each hand, [b) Eros, with wreath in r. hand and bird in 1., kneeling beside seated woman with r. hand on box. "
143,Pontecagnano,36420,Ht. 33, , ,"Although the vases in this division have much in common with those in the two preceding ones, there are some significant points of difference, especially in the drapery of the women and in the pattern-work on the bell-kraters. The side-scrolls "
144,Pontecagnano,36525,Ht. 32, , ,"form (Fig. 3, I above), which reappears with some modifications on the vases in the "
145,Pontecagnano,36475,Ht. 34, , ,"inwards at the handle-join, with a spiral scroll about two-thirds the way up the stem, above which is a diamond floral, a flower (on the obverse of no. 25), or a single leaf, and below a half palmette-fan (cf. nos. 23-6). This represents a slight modification of the patterns on the bell-kraters by the Dirce Painter, in which the leaf on the side-scroll is of a more sickle-like shape. Further, all four bell-kraters have a band of stopt "
146,Naples,181117. ,Ht. 34, ,"PLATE 27 c, d ","girdle comes into more general use with the peplos (e.g. on nos. 23-6, 28, 31-32). It is interesting to compare the youths on the reverse of no. 23 with those on nos. 4 and 6, where the stance is very different, as is the actual draping of the himatia. The continued use of the dot-stripe border, the treatment of the young satyr, the presence of the seated draped woman, and the peplos with the rather stiff-looking overfall, however, all indicate the close association with the work of the Dirce Painter. "
147,Paestum,1748,Ht. an, ,"PLATE 27 e,f ",
148,Geneva, private coll. ,Ht. 38, ,"PLATE 28 a, A ",
149,Lecce,741,Ht. 33, ,"PLATE 28 c, d ",painter's work and to mark the transition to the true Paestan style. They are dealt with in Chapter III. Bell-kraters 
150,New York,62.11.3. ,Ht. 34, , ,"LCS, p. 206, no. 41, pi. 81, 3-4; Suppl. Ill, p. 101, no. 68. "
151,Madrid,11058 (L. 378). ,Ht. 37, , ,"suspended, maenad with tambourine, all running to 1., [b) draped youth, with thyrsus, and half-draped youth. "
152,New York, private coll. x85,Ht. 30, , ,"LCS, Suppl. Ill, p. 101, no. 70 a. (a) Silen bending forward over raised 1. foot to offer a kantharos to Dionysos who is seated and holds a thyrsus in his 1. hand, standing maenad with sash; above, to 1., bust of woman, looking at a mirror she holds in her r. hand, [b) young satyr and draped woman, each holding bead-chains. "
